date,INDPRO,200dma,indpro_signal
1990-10-08,62.7886,62.76874349999999,1.0
1990-10-09,62.7886,62.77317599999999,1.0
1990-10-10,62.7886,62.7776085,1.0
1990-10-11,62.7886,62.782041,1.0
1990-10-12,62.7886,62.7864735,1.0
1990-10-15,62.7886,62.79090600000001,0.0
1990-10-16,62.7886,62.79533850000001,0.0
1990-10-17,62.7886,62.79977100000001,0.0
1990-10-18,62.7886,62.804203500000014,0.0
1990-10-19,62.7886,62.808636000000014,0.0
1990-10-22,62.7886,62.813068500000014,0.0
1990-10-23,62.7886,62.81750100000002,0.0
1990-10-24,62.7886,62.82193350000002,0.0
1990-10-25,62.7886,62.82636600000003,0.0
1990-10-26,62.7886,62.83079850000003,0.0
1990-10-29,62.7886,62.83523100000003,0.0
1990-10-30,62.7886,62.839663500000036,0.0
1990-10-31,62.7886,62.844096000000036,0.0
1990-11-01,62.0154,62.84466250000004,0.0
1990-11-02,62.0154,62.845229000000046,0.0
1990-11-05,62.0154,62.84579550000005,0.0
1990-11-06,62.0154,62.846362000000056,0.0
1990-11-07,62.0154,62.84692850000006,0.0
1990-11-08,62.0154,62.84468550000006,0.0
1990-11-09,62.0154,62.84244250000006,0.0
1990-11-12,62.0154,62.84019950000006,0.0
1990-11-13,62.0154,62.83795650000006,0.0
1990-11-14,62.0154,62.83571350000007,0.0
1990-11-15,62.0154,62.83347050000007,0.0
1990-11-16,62.0154,62.83122750000007,0.0
1990-11-19,62.0154,62.82898450000007,0.0
1990-11-20,62.0154,62.82674150000007,0.0
1990-11-21,62.0154,62.824498500000075,0.0
1990-11-22,62.0154,62.822255500000075,0.0
1990-11-23,62.0154,62.820012500000075,0.0
1990-11-26,62.0154,62.817769500000075,0.0
1990-11-27,62.0154,62.815526500000075,0.0
1990-11-28,62.0154,62.81328350000008,0.0
1990-11-29,62.0154,62.81104050000008,0.0
1990-11-30,62.0154,62.80879750000008,0.0
1990-12-03,61.5915,62.80443500000008,0.0
1990-12-04,61.5915,62.800072500000084,0.0
1990-12-05,61.5915,62.79571000000009,0.0
1990-12-06,61.5915,62.7898450000001,0.0
1990-12-07,61.5915,62.7839800000001,0.0
1990-12-10,61.5915,62.778115000000106,0.0
1990-12-11,61.5915,62.77225000000011,0.0
1990-12-12,61.5915,62.76638500000012,0.0
1990-12-13,61.5915,62.76052000000013,0.0
1990-12-14,61.5915,62.75465500000013,0.0
1990-12-17,61.5915,62.748790000000135,0.0
1990-12-18,61.5915,62.74292500000014,0.0
1990-12-19,61.5915,62.73706000000015,0.0
1990-12-20,61.5915,62.731195000000156,0.0
1990-12-21,61.5915,62.725330000000156,0.0
1990-12-24,61.5915,62.71946500000016,0.0
1990-12-25,61.5915,62.71360000000017,0.0
1990-12-26,61.5915,62.70773500000018,0.0
1990-12-27,61.5915,62.701870000000184,0.0
1990-12-28,61.5915,62.696005000000184,0.0
1990-12-31,61.5915,62.69014000000019,0.0
1991-01-01,61.3624,62.6831295000002,0.0
1991-01-02,61.3624,62.6761190000002,0.0
1991-01-03,61.3624,62.6691085000002,0.0
1991-01-04,61.3624,62.662098000000206,0.0
1991-01-07,61.3624,62.6556605000002,0.0
1991-01-08,61.3624,62.649223000000205,0.0
1991-01-09,61.3624,62.6427855000002,0.0
1991-01-10,61.3624,62.6363480000002,0.0
1991-01-11,61.3624,62.62991050000019,0.0
1991-01-14,61.3624,62.623473000000196,0.0
1991-01-15,61.3624,62.61703550000019,0.0
1991-01-16,61.3624,62.61059800000019,0.0
1991-01-17,61.3624,62.60416050000019,0.0
1991-01-18,61.3624,62.59772300000019,0.0
1991-01-21,61.3624,62.59128550000018,0.0
1991-01-22,61.3624,62.584848000000186,0.0
1991-01-23,61.3624,62.57841050000018,0.0
1991-01-24,61.3624,62.57197300000018,0.0
1991-01-25,61.3624,62.56553550000018,0.0
1991-01-28,61.3624,62.559098000000176,0.0
1991-01-29,61.3624,62.55266050000017,0.0
1991-01-30,61.3624,62.546223000000175,0.0
1991-01-31,61.3624,62.53978550000017,0.0
1991-02-01,60.9255,62.53116350000017,0.0
1991-02-04,60.9255,62.52254150000016,0.0
1991-02-05,60.9255,62.513106000000164,0.0
1991-02-06,60.9255,62.50367050000016,0.0
1991-02-07,60.9255,62.49423500000016,0.0
1991-02-08,60.9255,62.484799500000165,0.0
1991-02-11,60.9255,62.47536400000016,0.0
1991-02-12,60.9255,62.46592850000016,0.0
1991-02-13,60.9255,62.456493000000165,0.0
1991-02-14,60.9255,62.44705750000016,0.0
1991-02-15,60.9255,62.43762200000017,0.0
1991-02-18,60.9255,62.428186500000166,0.0
1991-02-19,60.9255,62.418751000000164,0.0
1991-02-20,60.9255,62.40931550000017,0.0
1991-02-21,60.9255,62.39988000000017,0.0
1991-02-22,60.9255,62.390444500000164,0.0
1991-02-25,60.9255,62.38100900000017,0.0
1991-02-26,60.9255,62.37157350000017,0.0
1991-02-27,60.9255,62.362138000000165,0.0
1991-02-28,60.9255,62.35270250000017,0.0
1991-03-01,60.5853,62.34156600000018,0.0
1991-03-04,60.5853,62.33042950000018,0.0
1991-03-05,60.5853,62.31929300000019,0.0
1991-03-06,60.5853,62.308156500000194,0.0
1991-03-07,60.5853,62.2970200000002,0.0
1991-03-08,60.5853,62.2848185000002,0.0
1991-03-11,60.5853,62.2726170000002,0.0
1991-03-12,60.5853,62.2604155000002,0.0
1991-03-13,60.5853,62.248214000000196,0.0
1991-03-14,60.5853,62.2360125000002,0.0
1991-03-15,60.5853,62.2238110000002,0.0
1991-03-18,60.5853,62.21160950000019,0.0
1991-03-19,60.5853,62.1994080000002,0.0
1991-03-20,60.5853,62.187206500000194,0.0
1991-03-21,60.5853,62.17500500000019,0.0
1991-03-22,60.5853,62.162803500000194,0.0
1991-03-25,60.5853,62.15060200000019,0.0
1991-03-26,60.5853,62.13840050000019,0.0
1991-03-27,60.5853,62.126199000000184,0.0
1991-03-28,60.5853,62.11399750000019,0.0
1991-03-29,60.5853,62.101796000000185,0.0
1991-04-01,60.7604,62.09047000000018,0.0
1991-04-02,60.7604,62.07914400000017,0.0
1991-04-03,60.7604,62.06781800000016,0.0
1991-04-04,60.7604,62.056492000000155,0.0
1991-04-05,60.7604,62.045166000000144,0.0
1991-04-08,60.7604,62.034291500000144,0.0
1991-04-09,60.7604,62.023417000000144,0.0
1991-04-10,60.7604,62.012542500000144,0.0
1991-04-11,60.7604,62.001668000000144,0.0
1991-04-12,60.7604,61.990793500000144,0.0
1991-04-15,60.7604,61.979919000000145,0.0
1991-04-16,60.7604,61.969044500000145,0.0
1991-04-17,60.7604,61.958170000000145,0.0
1991-04-18,60.7604,61.947295500000145,0.0
1991-04-19,60.7604,61.936421000000145,0.0
1991-04-22,60.7604,61.925546500000145,0.0
1991-04-23,60.7604,61.914672000000145,0.0
1991-04-24,60.7604,61.903797500000145,0.0
1991-04-25,60.7604,61.892923000000145,0.0
1991-04-26,60.7604,61.882048500000145,0.0
1991-04-29,60.7604,61.871174000000146,0.0
1991-04-30,60.7604,61.860299500000146,0.0
1991-05-01,61.3572,61.85240900000015,0.0
1991-05-02,61.3572,61.844518500000156,0.0
1991-05-03,61.3572,61.83662800000016,0.0
