date,21dma,200dma,hy_signal,hy_signal_cross,hy_signal_slope,slope,BAMLH0A0HYM2
1996-12-31,,,,,,,3.13
1997-01-02,,,,,,,3.06
1997-01-03,,,,,,,3.09
1997-01-06,,,,,,,3.1
1997-01-07,,,,,,,3.1
1997-01-08,,,,,,,3.07
1997-01-09,,,,,,,3.13
1997-01-10,,,,,,,3.16
1997-01-13,,,,,,,3.04
1997-01-14,,,,,,,3.09
1997-01-15,,,,,,,3.07
1997-01-16,,,,,,,3.02
1997-01-17,,,,,,,3.04
1997-01-20,,,,,,,3.03
1997-01-21,,,,,,,3.05
1997-01-22,,,,,,,2.99
1997-01-23,,,,,,,2.97
1997-01-24,,,,,,,2.94
1997-01-27,,,,,,,2.9
1997-01-28,,,,,,,2.92
1997-01-29,3.04,,,,1.0,-0.010077922077922078,2.94
1997-01-30,3.032380952380952,,,,1.0,-0.009701298701298698,2.97
1997-01-31,3.0314285714285716,,,,1.0,-0.009207792207792205,3.04
1997-02-03,3.030952380952381,,,,1.0,-0.007740259740259739,3.08
1997-02-04,3.03,,,,1.0,-0.006116883116883111,3.08
1997-02-05,3.027619047619048,,,,1.0,-0.004857142857142852,3.05
1997-02-06,3.025714285714286,,,,1.0,-0.004220779220779221,3.03
1997-02-07,3.0223809523809524,,,,1.0,-0.0022857142857142863,3.06
1997-02-10,3.0166666666666666,,,,1.0,-9.09090909090884e-05,3.04
1997-02-11,3.016190476190476,,,,0.0,0.0004155844155844166,3.03
1997-02-12,3.012380952380952,,,,0.0,0.0013896103896103866,3.01
1997-02-13,3.010952380952381,,,,0.0,0.0025714285714285674,3.04
1997-02-14,3.012380952380952,,,,0.0,0.0032077922077922024,3.05
1997-02-18,3.010952380952381,,,,0.0,0.0035714285714285644,3.01
1997-02-19,3.008571428571428,,,,0.0,0.0034415584415584326,2.98
1997-02-20,3.0009523809523806,,,,0.0,0.0024935064935064847,2.89
1997-02-21,2.996190476190476,,,,0.0,0.0008961038961038926,2.89
1997-02-24,2.9904761904761905,,,,1.0,-0.0013766233766233755,2.85
1997-02-25,2.985238095238095,,,,1.0,-0.00418181818181818,2.83
1997-02-26,2.9761904761904763,,,,1.0,-0.008974025974025973,2.71
1997-02-27,2.966190476190476,,,,1.0,-0.013233766233766235,2.71
1997-02-28,2.9561904761904763,,,,1.0,-0.016675324675324676,2.73
1997-03-03,2.9438095238095237,,,,1.0,-0.019675324675324676,2.71
1997-03-04,2.926190476190476,,,,1.0,-0.021857142857142853,2.67
1997-03-05,2.9085714285714284,,,,1.0,-0.022467532467532466,2.71
1997-03-06,2.8904761904761904,,,,1.0,-0.022727272727272717,2.7
1997-03-07,2.875714285714286,,,,1.0,-0.022402597402597396,2.74
1997-03-10,2.861904761904762,,,,1.0,-0.021961038961038952,2.74
1997-03-11,2.8457142857142856,,,,1.0,-0.020974025974025964,2.72
1997-03-12,2.829047619047619,,,,1.0,-0.020220779220779205,2.69
1997-03-13,2.8095238095238093,,,,1.0,-0.020064935064935056,2.62
1997-03-14,2.792857142857143,,,,1.0,-0.01914285714285713,2.66
1997-03-17,2.7747619047619048,,,,1.0,-0.017337662337662322,2.66
1997-03-18,2.756666666666667,,,,1.0,-0.014766233766233759,2.67
1997-03-19,2.7404761904761905,,,,1.0,-0.012272727272727272,2.67
1997-03-20,2.7261904761904767,,,,1.0,-0.009636363636363637,2.68
1997-03-21,2.716666666666667,,,,1.0,-0.007766233766233766,2.69
1997-03-24,2.7080952380952383,,,,1.0,-0.005376623376623376,2.71
1997-03-25,2.7004761904761905,,,,1.0,-0.0035844155844155846,2.69
1997-03-26,2.694761904761905,,,,1.0,-0.0016103896103896113,2.71
1997-03-27,2.692857142857143,,,,1.0,-0.0017142857142857175,2.67
1997-03-31,2.699047619047619,,,,0.0,0.00044155844155843504,2.84
1997-04-01,2.707142857142857,,,,0.0,0.0034935064935064848,2.9
1997-04-02,2.7180952380952386,,,,0.0,0.006558441558441547,2.94
1997-04-03,2.7314285714285713,,,,0.0,0.008883116883116873,2.95
1997-04-04,2.7414285714285715,,,,0.0,0.011025974025974015,2.92
1997-04-07,2.7533333333333334,,,,0.0,0.013142857142857135,2.95
1997-04-08,2.762380952380952,,,,0.0,0.015246753246753245,2.93
1997-04-09,2.7704761904761903,,,,0.0,0.01684415584415585,2.91
1997-04-10,2.7800000000000002,,,,0.0,0.018064935064935065,2.92
1997-04-11,2.7885714285714287,,,,0.0,0.01794805194805195,2.87
1997-04-14,2.800952380952381,,,,0.0,0.016727272727272726,2.88
1997-04-15,2.8138095238095238,,,,0.0,0.016389610389610395,2.93
1997-04-16,2.825714285714286,,,,0.0,0.015441558441558447,2.91
1997-04-17,2.8376190476190475,,,,0.0,0.014441558441558448,2.92
1997-04-18,2.849047619047619,,,,0.0,0.012987012987012991,2.91
1997-04-21,2.858095238095238,,,,0.0,0.010844155844155854,2.87
1997-04-22,2.8676190476190477,,,,0.0,0.008857142857142867,2.89
1997-04-23,2.8733333333333335,,,,0.0,0.006116883116883125,2.83
1997-04-24,2.8776190476190475,,,,0.0,0.00228571428571429,2.78
1997-04-25,2.880952380952381,,,,1.0,-0.0013766233766233761,2.78
1997-04-28,2.8876190476190478,,,,1.0,-0.005311688311688312,2.81
1997-04-29,2.890952380952381,,,,1.0,-0.005701298701298702,2.91
1997-04-30,2.8928571428571432,,,,1.0,-0.004935064935064938,2.94
1997-05-01,2.8914285714285715,,,,1.0,-0.004038961038961043,2.91
1997-05-02,2.889047619047619,,,,1.0,-0.0030909090909090955,2.9
