,date,comdty/tb_yield,125dma,signal,1M_rel,3M_rel,6M_rel
0,2007-05-01,2.4768688068496703,2.3575018853542424,1.0,0.008073816936106315,-0.028286499637650175,-0.0300879530992213
1,2007-05-02,2.4687735587299358,2.358663250990357,1.0,0.003144280344975492,-0.04087673001269709,-0.03832269606088978
2,2007-05-03,2.496859293199159,2.3603208552961923,1.0,0.007145791681528735,-0.03405132097132546,-0.032302288531714796
3,2007-05-04,2.480305200104522,2.3619080299758,1.0,0.001630428041915044,-0.04480989016624137,-0.04713758523759537
4,2007-05-07,2.466033610693357,2.363097078833747,1.0,0.005994141601186609,-0.05101596064853364,-0.04109257064332983
5,2007-05-08,2.4581437574874876,2.3636567864436224,1.0,0.004559673375249762,-0.04775603988257904,-0.045025252603901555
6,2007-05-09,2.4770559451141345,2.3644390021114083,1.0,0.003892909718287929,-0.03687497343089141,-0.044615916897500774
7,2007-05-10,2.4594097127941135,2.3651321326785104,1.0,0.005939603265981974,-0.015506638302670739,-0.04149656556860404
8,2007-05-11,2.5025689177833557,2.366319715771617,1.0,-0.000893549994177012,-0.014464182405287462,-0.037995374648587044
9,2007-05-14,2.492694112974168,2.367306550549836,1.0,0.004086704055876078,-0.01829027991812071,-0.027844421513616213
10,2007-05-15,2.515748227635959,2.3690286363732707,1.0,0.013667080946569765,-0.013293306577261133,-0.016530135407924806
11,2007-05-16,2.507673074476243,2.370684209841429,1.0,0.021729321889108366,-0.012753517711557527,-0.016002637951639365
12,2007-05-17,2.541003715216066,2.3727636798762677,1.0,0.02546840364966685,0.009692602445289245,-0.012791091355820128
13,2007-05-18,2.5592990387138346,2.3747623080262645,1.0,0.022772980826940348,0.004755413480502346,-0.016185513070046564
14,2007-05-21,2.5742609166564945,2.377041579731538,1.0,0.011073632256586197,-0.0032584869472523925,-0.03343889379327192
15,2007-05-22,2.551794152796938,2.3792248299260574,1.0,0.0011353923189565407,-0.010842005522277876,-0.047056730436538685
16,2007-05-23,2.5636582223480215,2.3814563800968704,1.0,0.010814493366750777,-0.007162525276180998,-0.050003172518575556
17,2007-05-24,2.5460671552780147,2.3833643314281696,1.0,0.010923766097649446,-0.013296475903890714,-0.041167589466925
18,2007-05-25,2.570105531858826,2.385574190106282,1.0,0.010489939694556805,-0.013364116276903037,-0.04074761132939109
19,2007-05-29,2.5425993231445316,2.3872737771674517,1.0,0.008863473514199693,-0.023601760326117494,-0.0492911551505083
20,2007-05-30,2.560611147560121,2.3891943062252516,1.0,0.010913179771823156,-0.025589887447828974,-0.0520128956000967
21,2007-05-31,2.583170542394637,2.391361688476454,1.0,0.0019047328204481184,-0.026976294948246826,-0.050809934103111964
22,2007-06-01,2.6297089335880264,2.3937004670789594,1.0,0.0011759170124104878,-0.03119284012952539,-0.05903337739066805
23,2007-06-04,2.6325322220588716,2.3960898164544844,1.0,0.0012395477325839455,-0.03042225077999472,-0.0644094968310942
24,2007-06-05,2.641427108383559,2.3986939537729075,1.0,0.005841485803712021,-0.028941485603338424,-0.06584202192002897
25,2007-06-06,2.637070803078841,2.4015548603520913,1.0,0.004588349812342685,-0.030614089967594627,-0.07000185628382294
26,2007-06-07,2.6863089910255438,2.40463812051624,1.0,0.006238583319156943,-0.031093741309287548,-0.06848099866355584
27,2007-06-08,2.6481058696689614,2.4075299847155103,1.0,0.0009728258668657563,-0.035358561566864344,-0.05767572386480002
28,2007-06-11,2.693883874336243,2.410754050417732,1.0,0.0017616348118689729,-0.03800929611409587,-0.054247154693871424
29,2007-06-12,2.7395940544090265,2.4142468029995467,1.0,0.004081885050372325,-0.03360175617038008,-0.052519962750776306
30,2007-06-13,2.7123916037162785,2.4176116517211956,1.0,0.0036031588109584067,-0.03652779566443931,-0.05451510303497076
31,2007-06-14,2.755015177349851,2.421440691751121,1.0,-0.0038747128255463004,-0.042194864646465935,-0.05424937488888959
32,2007-06-15,2.774653670278931,2.4250655208867595,1.0,-0.00873343914086755,-0.04453652475091174,-0.06379140741915168
33,2007-06-18,2.7620267317802427,2.428380736482524,1.0,-0.0103128459616727,-0.047739160815635895,-0.06791107036592281
34,2007-06-19,2.697242144520569,2.431365980127769,1.0,-0.00849868086539085,-0.040090592222212895,-0.07156917285988773
35,2007-06-20,2.7112120667724593,2.4346601634784437,1.0,-0.013742096571513818,-0.03316101009739014,-0.05996257551786199
36,2007-06-21,2.7233736070884698,2.437883131798518,1.0,-0.017720886735953734,-0.033522025172186054,-0.054187367066795056
37,2007-06-22,2.6768642882019047,2.4408781066489484,1.0,-0.0330650893936113,-0.04135756715777905,-0.05226998115264303
38,2007-06-25,2.6416575080203986,2.4437952752287853,1.0,-0.03166657159555586,-0.039523301902340435,-0.04172189070086085
39,2007-06-26,2.6298177422283153,2.446216202489311,1.0,-0.0350901131101381,-0.04428853499049856,-0.040804685293295506
40,2007-06-27,2.618369417939757,2.4486628079770916,1.0,-0.04085077447079233,-0.0476592711040259,-0.04364974119231879
41,2007-06-28,2.6345166503700237,2.451104372917845,1.0,-0.044205098941820564,-0.04688014063738033,-0.058548928044980686
42,2007-06-29,2.601957477171327,2.4531031275560435,1.0,-0.037083752256648395,-0.049450344192503604,-0.05775891934400168
43,2007-07-02,2.5856999905586235,2.4549252950371163,1.0,-0.04416045253737533,-0.042216916266760274,-0.059908617213559445
44,2007-07-03,2.589269974927902,2.4576125667118327,1.0,-0.04116083201778242,-0.03340476208726384,-0.060627579123020414
45,2007-07-05,2.6787255740566254,2.461393507101466,1.0,-0.0508715976996027,-0.03750986696636427,-0.07236021303759543
