,index,date,mfp,1M,3M,6M,1Y,3Y
0,119.0,2024-02-29,qMO,0.037466825970214224,0.12923211182411576,0.30997223543977337,0.39706885945268033,0.3154104082475693
1,239.0,2024-02-29,qValue,0.01857135052417669,0.04356718374830981,0.08798638392969749,0.17270133239341479,0.3531026792996548
2,359.0,2024-02-29,qQuality,0.02394542681271905,0.06577883999051992,0.16970591174236205,0.22067346138479116,0.23533201574447227
3,479.0,2024-02-29,qSentiment,0.022895756317514726,0.049633858859428726,0.15109786579250728,0.1824657387919455,0.18914208651060171
4,599.0,2024-02-29,qLV,0.0175556893852562,0.03391623310306291,0.05965629834348918,-0.004889229161592179,0.04592396322833725
5,719.0,2024-02-29,qGrowth,0.02115903942422448,0.08683640997923003,0.20526724146872,0.2505717180113318,0.15350823572165728
315,,2024-03-31,sp500,0.015501533474482354,0.08500093294729583,0.206905236646028,0.259401213342386,0.30264618451555436
