,date,EM,21d,200d,market_cross,EM_return,21d_vol,200d_vol,market_vol_cross,SP500,sp500_return,EM_v_sp500,50d_hit,200d_hit,EM_v_sp500_hit,index_x,DXY,21dma_dxy,200dma_dxy,dxy_signal,index_y,AUDCHF,21dma_audchf,200dma_audchf,audchf_signal,CRB CMDT,CRB RIND,commodity_tr,21d_cmdty,200d_cmdty,commodity_cross,technicals,volatility,currency,commodities,EM Regime Model,1M,3M
1519,2009-04-27,20.388,20.32157142857143,21.309684999999998,-1.0,-0.03413695657319015,0.02851654553904004,0.0512621617565085,1.0,,,,,,,3735.0,85.696,85.38595238095238,82.77181499999999,-1.0,3735.0,0.8208,0.8179238095238096,0.8181364999999999,-1.0,338.4,362.79,350.595,341.12285714285713,367.35372500000005,-1.0,,1.0,-1.0,-1.0,,0.17279772415146155,0.32936040808318623
1520,2009-04-28,20.32,20.371380952380953,21.25161,-1.0,-0.0033408697675141605,0.027635693071091597,0.05126125141218141,1.0,,,,,,,3736.0,85.158,85.35209523809523,82.83537499999998,-1.0,3736.0,0.8071,0.8190952380952381,0.8171650000000001,1.0,335.54,358.95,347.245,342.0854761904762,366.707475,-1.0,,1.0,1.0,-1.0,,0.21304133858267726,0.3278051181102364
1521,2009-04-29,21.389,20.519428571428573,21.199080000000002,-1.0,0.051271148473040186,0.02651218264519552,0.051400794367938867,1.0,,,,,,,3737.0,84.474,85.30657142857143,82.89369,-1.0,3737.0,0.8259,0.8209190476190477,0.816303,1.0,337.55,361.1,349.32500000000005,343.01023809523804,366.082425,-1.0,,1.0,1.0,-1.0,,0.17004067511337606,0.233063724344289
1522,2009-04-30,21.585,20.657809523809526,21.150190000000002,-1.0,0.009121857824119459,0.02631922886586265,0.05139593408820367,1.0,,,,,,,3738.0,84.614,85.2642380952381,82.95209499999999,-1.0,3738.0,0.8277,0.8221904761904761,0.8154710000000001,1.0,338.1,362.33,350.21500000000003,343.95928571428567,365.463775,-1.0,,1.0,1.0,-1.0,,0.20824646745425057,0.25211952744961774
1523,2009-05-01,21.901,20.781857142857145,21.09835,-1.0,0.01453366887298896,0.025730500038339602,0.051364008614059105,1.0,,,,,,,3739.0,84.546,85.26899999999999,83.010525,-1.0,3739.0,0.8299,0.8230904761904763,0.814661,1.0,340.72,365.62,353.17,344.9188095238095,364.86237500000004,-1.0,,1.0,1.0,-1.0,,0.17359937902378886,0.23994338158074968
1524,2009-05-04,23.414,20.92809523809524,21.05332,-1.0,0.06680183617705096,0.027142228769665697,0.051591564480312206,1.0,,,,,,,3740.0,83.97,85.25971428571428,83.06713000000002,-1.0,3740.0,0.8337,0.8242714285714288,0.8138804999999999,1.0,339.7,366.25,352.975,345.6776190476191,364.26324999999997,-1.0,,1.0,1.0,-1.0,,0.05885367728709312,0.20325446314170992
1525,2009-05-05,23.204,21.05252380952381,21.00864,1.0,-0.009009456453662829,0.027322144531043435,0.05159180007371829,1.0,,,,,,,3741.0,84.157,85.24,83.12137000000001,-1.0,3741.0,0.8407,0.8256904761904762,0.8130964999999999,1.0,339.48,366.21,352.845,346.435,363.657225,-1.0,,1.0,1.0,-1.0,,0.08821754869850018,0.2030253404585416
1526,2009-05-06,23.602,21.20809523809524,20.963954999999995,1.0,0.017006776599738968,0.027097385970732447,0.051599207166942794,1.0,,,,,,,3742.0,83.803,85.16928571428572,83.173775,-1.0,3742.0,0.8466,0.8273380952380953,0.8123809999999999,1.0,343.09,371.26,357.17499999999995,347.3042857142857,363.07442499999996,-1.0,,1.0,1.0,-1.0,,0.07211253283620023,0.17278196762986187
1527,2009-05-07,23.015,21.357952380952383,20.91624,1.0,-0.025185276934352185,0.027209744411181073,0.05162587917456771,1.0,,,,,,,3743.0,83.941,85.10166666666666,83.227345,-1.0,3743.0,0.8518,0.8291142857142857,0.8117075,1.0,347.24,373.42,360.33000000000004,348.3542857142857,362.49605,-1.0,,1.0,1.0,-1.0,,0.08246795568107745,0.19278731262220306
1528,2009-05-08,23.783,21.530380952380952,20.872130000000002,1.0,0.03282486247035544,0.02774840453535492,0.051683243456942723,1.0,,,,,,,3744.0,82.529,84.94657142857143,83.27287,-1.0,3744.0,0.8497,0.8299809523809524,0.811079,1.0,350.84,376.42,363.63,349.47833333333335,361.95,-1.0,,1.0,1.0,-1.0,,0.049405037211453395,0.16574864398940425
1529,2009-05-11,23.226,21.63433333333333,20.83126,1.0,-0.0236986989159942,0.02735614237189552,0.05164368454833833,1.0,,,,,,,3745.0,82.678,84.79857142857144,83.31895,-1.0,3745.0,0.8419,0.8305095238095238,0.8104175000000001,1.0,350.71,374.81,362.76,350.5609523809524,361.43365,-1.0,,1.0,1.0,-1.0,,0.08809093257556189,0.1803151640402998
1530,2009-05-12,23.392,21.740095238095236,20.79014,1.0,0.007121742743802034,0.027359751638294794,0.05164390469741288,1.0,,,,,,,3746.0,82.306,84.68766666666666,83.361075,-1.0,3746.0,0.8458,0.8313,0.809817,1.0,352.61,377.14,364.875,351.74642857142857,360.93665,-1.0,,1.0,1.0,-1.0,,0.103625170998632,0.14988030095759242
1531,2009-05-13,22.534,21.82114285714286,20.747405000000004,1.0,-0.03736880382539385,0.028536996789284768,0.05169457162641147,1.0,,,,,,,3747.0,82.499,84.58561904761905,83.40234999999998,-1.0,3747.0,0.8335,0.8317428571428571,0.8091705,1.0,352.76,378.41,365.58500000000004,352.98285714285714,360.446275,-1.0,,1.0,1.0,-1.0,,0.12727434099582857,0.2044466140055028
1532,2009-05-14,22.857,21.903238095238095,20.697675000000004,1.0,0.014232136417008196,0.02853490023571141,0.05155631844093631,1.0,,,,,,,3748.0,82.279,84.45219047619047,83.44101,-1.0,3748.0,0.8395,0.8320714285714285,0.8085515000000001,1.0,353.58,379.26,366.41999999999996,354.11452380952386,359.94822500000004,-1.0,,1.0,1.0,-1.0,,0.07148794679966741,0.20798879992999963
1533,2009-05-15,22.646,21.96666666666667,20.648595,1.0,-0.00927418026713444,0.028649571354696295,0.051555395027221375,1.0,,,,,,,3749.0,83.024,84.34728571428572,83.47690499999999,-1.0,3749.0,0.8401,0.8327333333333332,0.8079424999999999,1.0,353.17,379.95,366.56,355.1942857142857,359.4725,-1.0,,1.0,1.0,-1.0,,0.06517707321381261,0.19712090435396967
1534,2009-05-18,23.904,22.097190476190477,20.609444999999997,1.0,0.054062573058559014,0.03062418635234953,0.051684635142309636,1.0,,,,,,,3750.0,82.667,84.1894761904762,83.509615,-1.0,3750.0,0.8534,0.8333095238095237,0.8074095,1.0,354.19,381.53,367.86,356.11380952380955,359.023975,-1.0,,1.0,1.0,-1.0,,-0.00221720214190102,0.08969210174029452
1535,2009-05-19,24.175,22.289714285714286,20.572725000000002,1.0,0.011273232388951197,0.02783971888716675,0.051690975990373436,1.0,,,,,,,3751.0,81.978,83.96761904761904,83.538745,-1.0,3751.0,0.8594,0.8354619047619047,0.80696,1.0,354.77,382.56,368.66499999999996,357.1495238095238,358.5902,-1.0,,1.0,1.0,-1.0,,-0.016215098241985526,0.10101344364012399
1536,2009-05-20,24.25,22.465380952380954,20.541205,1.0,0.0030975760441341845,0.027716517046253927,0.05164855144904912,1.0,,,,,,,3752.0,80.985,83.7012380952381,83.56262999999998,-1.0,3752.0,0.8524,0.836495238095238,0.806477,1.0,356.64,384.03,370.335,358.2202380952381,358.15590000000003,1.0,,1.0,1.0,1.0,,-0.014268041237113449,0.10041237113402057
