,date,BFCIUS,50dma,200dma,bfcius_signal
134,1995-07-07,1.063,0.9542000000000005,,
135,1995-07-10,0.882,0.9505800000000003,,
136,1995-07-11,0.964,0.9483200000000004,,
137,1995-07-12,0.936,0.9478600000000003,,
138,1995-07-13,1.057,0.9529200000000003,,
139,1995-07-14,1.216,0.9569600000000003,,
140,1995-07-17,1.113,0.9587800000000003,,
141,1995-07-18,1.113,0.9621400000000002,,
142,1995-07-19,0.986,0.9594600000000003,,
143,1995-07-20,0.994,0.9590600000000002,,
144,1995-07-21,1.139,0.9592600000000003,,
145,1995-07-24,0.919,0.9556400000000003,,
146,1995-07-25,1.004,0.9535800000000002,,
147,1995-07-26,1.133,0.9548200000000002,,
148,1995-07-27,0.958,0.9536600000000003,,
149,1995-07-28,1.06,0.9528600000000003,,
150,1995-07-31,1.06,0.9497600000000003,,
151,1995-08-01,1.081,0.9475000000000002,,
152,1995-08-02,1.043,0.9466400000000003,,
153,1995-08-03,1.092,0.9453000000000003,,
154,1995-08-04,1.062,0.9440200000000003,,
155,1995-08-07,1.038,0.9419800000000003,,
156,1995-08-08,1.031,0.9421600000000002,,
157,1995-08-09,1.026,0.9427200000000003,,
158,1995-08-10,1.026,0.9483400000000004,,
159,1995-08-11,1.1360000000000001,0.9576000000000005,,
160,1995-08-14,1.002,0.9567800000000005,,
161,1995-08-15,1.015,0.9574200000000006,,
162,1995-08-16,1.013,0.9540800000000006,,
163,1995-08-17,1.052,0.9543000000000006,,
164,1995-08-18,1.016,0.9545600000000006,,
165,1995-08-21,0.967,0.9550600000000006,,
166,1995-08-22,1.087,0.9634000000000006,,
167,1995-08-23,1.008,0.9664000000000007,,
168,1995-08-24,0.815,0.9638200000000006,,
169,1995-08-25,0.804,0.9637600000000006,,
170,1995-08-28,0.766,0.9635400000000005,,
171,1995-08-29,0.841,0.9633600000000005,,
172,1995-08-30,0.793,0.9642400000000005,,
173,1995-08-31,0.775,0.9675000000000005,,
174,1995-09-01,0.799,0.9674200000000005,,
175,1995-09-04,0.791,0.9667800000000004,,
176,1995-09-05,0.811,0.9673000000000005,,
177,1995-09-06,0.854,0.9697800000000005,,
178,1995-09-07,0.904,0.9685600000000005,,
179,1995-09-08,0.954,0.9738600000000005,,
180,1995-09-11,0.922,0.9749800000000005,,
