,date,PE_RATIO,BEST_PE_RATIO,LBUSYW Index,S&P 500,PE_YLD,BEST_PE_YLD,PE_spread,BEST_PE_spread
8795,2014-03-02,17.4349,15.806000000000001,0.0228,3347.38,0.05735622228977511,0.06326711375427052,0.03455622228977511,0.04046711375427052
8796,2014-03-03,17.3047,15.6872,0.0228,3322.85,0.05778776864088947,0.06374623897190065,0.03498776864088947,0.04094623897190065
8797,2014-03-04,17.5688,15.9288,0.0233,3373.64,0.05691908383042667,0.06277936818843854,0.033619083830426666,0.03947936818843854
8798,2014-03-05,17.5682,15.9343,0.0233,3374.1,0.05692102776607734,0.06275769880070037,0.03362102776607734,0.039457698800700367
8799,2014-03-06,17.5986,15.9666,0.0236,3380.49,0.05682270180582546,0.0626307416732429,0.033222701805825455,0.0390307416732429
8800,2014-03-07,17.6078,15.9739,0.024,3382.57,0.05679301218778041,0.06260211970777331,0.03279301218778041,0.03860211970777331
8801,2014-03-08,17.6078,15.9739,0.024,3382.57,0.05679301218778041,0.06260211970777331,0.03279301218778041,0.03860211970777331
8802,2014-03-09,17.6078,15.9739,0.024,3382.57,0.05679301218778041,0.06260211970777331,0.03279301218778041,0.03860211970777331
8803,2014-03-10,17.599,15.967,0.0239,3381.22,0.05682141030740383,0.06262917266862905,0.03292141030740382,0.03872917266862905
8804,2014-03-11,17.5094,15.8872,0.0239,3364.17,0.05711217974345209,0.06294375346190643,0.033212179743452086,0.03904375346190643
8805,2014-03-12,17.5151,15.8966,0.023700000000000002,3366.07,0.05709359352787024,0.06290653347256646,0.03339359352787023,0.03920653347256646
8806,2014-03-13,17.3106,15.713799999999999,0.0232,3327.11,0.057768072741557194,0.06363833063931067,0.034568072741557196,0.04043833063931067
8807,2014-03-14,17.2618,15.6716,0.0232,3317.81,0.05793138606634302,0.06380969396870773,0.034731386066343024,0.04060969396870773
8808,2014-03-15,17.2618,15.6716,0.0232,3317.81,0.05793138606634302,0.06380969396870773,0.034731386066343024,0.04060969396870773
8809,2014-03-16,17.2618,15.6716,0.0232,3317.81,0.05793138606634302,0.06380969396870773,0.034731386066343024,0.04060969396870773
8810,2014-03-17,17.4278,15.8247,0.0236,3349.71,0.05737958893262488,0.06319235119781101,0.03377958893262488,0.039592351197811015
8811,2014-03-18,17.5536,15.9402,0.023399999999999997,3373.98,0.056968371160331786,0.06273447008193121,0.03356837116033179,0.039334470081931215
8812,2014-03-19,17.4461,15.8459,0.024300000000000002,3353.29,0.05731940089762182,0.06310780706681224,0.033019400897621815,0.038807807066812236
8813,2014-03-20,17.5518,15.9453,0.024399999999999998,3373.6,0.05697421347098303,0.06271440487165497,0.032574213470983035,0.038314404871654974
8814,2014-03-21,17.5003,15.8967,0.0241,3363.72,0.057141877567813124,0.06290613775186045,0.03304187756781313,0.03880613775186045
8815,2014-03-22,17.5003,15.8967,0.0241,3363.72,0.057141877567813124,0.06290613775186045,0.03304187756781313,0.03880613775186045
8816,2014-03-23,17.5003,15.8967,0.0241,3363.72,0.057141877567813124,0.06290613775186045,0.03304187756781313,0.03880613775186045
8817,2014-03-24,17.4369,15.8463,0.0242,3347.36,0.057349643571965196,0.06310621406889937,0.0331496435719652,0.03890621406889937
8818,2014-03-25,17.5138,15.9159,0.0241,3362.44,0.057097831424362505,0.0628302515094968,0.03299783142436251,0.0387302515094968
8819,2014-03-26,17.3911,15.8059,0.023799999999999998,3339.0,0.05750067563293868,0.06326751402957125,0.03370067563293869,0.03946751402957124
8820,2014-03-27,17.3579,15.7769,0.023700000000000002,3333.23,0.057610655666872145,0.06338380797241537,0.03391065566687214,0.03968380797241537
8821,2014-03-28,17.4386,15.8514,0.0239,3348.83,0.0573440528482791,0.06308591039277288,0.0334440528482791,0.039185910392772874
8822,2014-03-29,17.4386,15.8514,0.0239,3348.83,0.0573440528482791,0.06308591039277288,0.0334440528482791,0.039185910392772874
8823,2014-03-30,17.4386,15.8514,0.0239,3348.83,0.0573440528482791,0.06308591039277288,0.0334440528482791,0.039185910392772874
8824,2014-03-31,17.4017,15.9759,0.0239,3375.51,0.057465649907767626,0.06259428263822382,0.03356564990776763,0.03869428263822382
8825,2014-04-01,17.5239,16.0574,0.024300000000000002,3399.51,0.057064922762627035,0.06227658275935082,0.03276492276262703,0.03797658275935082
8826,2014-04-02,17.5876,16.1091,0.0246,3409.8,0.056858241033455395,0.062076714403660034,0.0322582410334554,0.03747671440366003
8827,2014-04-03,17.5681,16.0929,0.0245,3406.0,0.05692135176826179,0.06213920424535043,0.03242135176826179,0.03763920424535043
8828,2014-04-04,17.348,15.8919,0.0239,3363.41,0.05764353239566521,0.06292513796336499,0.033743532395665216,0.039025137963364986
