,date,mfp,d10,d1,d10-d1
0,2015-03-31,qGrowth,0.0029749654130451506,0.037769832231293266,-0.034794866818248116
1,2015-03-31,qLV,0.005628753063249918,0.036303325756792904,-0.030674572693542984
2,2015-03-31,qMO,-0.03201003991706916,0.05842111734049092,-0.09043115725756008
3,2015-03-31,qQuality,0.008314182577123895,0.001317564239061436,0.0069966183380624596
4,2015-03-31,qSentiment,0.0304814368930563,-0.002705239291637114,0.03318667618469341
5,2015-03-31,qValue,0.07143683293412312,0.001986922032305338,0.06944991090181778
6,2015-04-30,qGrowth,0.005672556116554132,-0.005825571285458565,0.011498127402012698
7,2015-04-30,qLV,0.0070259890076234234,-0.01775418661873316,0.024780175626356583
8,2015-04-30,qMO,0.04531289315772695,-0.026467018644079198,0.07177991180180615
9,2015-04-30,qQuality,-0.0017985190617856354,-7.315852113737993e-05,-0.0017253605406482553
10,2015-04-30,qSentiment,0.006699129777753804,0.004926639338176643,0.001772490439577161
11,2015-04-30,qValue,-0.03122999043604476,0.022859158750744357,-0.054089149186789115
12,2015-05-31,qGrowth,-0.004958794445415601,-0.02957179376515695,0.024612999319741348
13,2015-05-31,qLV,-0.02223198944198143,-0.03778946431231619,0.015557474870334757
14,2015-05-31,qMO,-0.019539631359940798,-0.03666991947112586,0.017130288111185065
15,2015-05-31,qQuality,-0.012030602424570228,-0.012661351204780423,0.0006307487802101955
16,2015-05-31,qSentiment,-0.015994876461404732,-0.02307103990965794,0.007076163448253209
17,2015-05-31,qValue,-0.03986975646047703,-0.00983876423549087,-0.03003099222498616
18,2015-06-30,qGrowth,0.013620973229741455,-0.020121296993391446,0.0337422702231329
19,2015-06-30,qLV,0.03666248228947505,-0.030923471932156932,0.06758595422163198
20,2015-06-30,qMO,0.024750480684400562,-0.048016311224136604,0.07276679190853716
21,2015-06-30,qQuality,0.009504408551008372,0.020113106384325216,-0.010608697833316845
22,2015-06-30,qSentiment,0.001566571049461736,0.006511924184500148,-0.004945353135038412
23,2015-06-30,qValue,-0.03443420501515331,0.02511231845259297,-0.05954652346774628
24,2015-07-31,qGrowth,-0.05995079271318005,-0.06485292112473527,0.004902128411555219
25,2015-07-31,qLV,-0.047378785903318975,-0.04599453257365588,-0.0013842533296630974
26,2015-07-31,qMO,-0.05440990962819286,-0.0554426719095459,0.0010327622813530446
27,2015-07-31,qQuality,-0.06642346735881542,-0.06438905838008618,-0.002034408978729238
28,2015-07-31,qSentiment,-0.05794446258841396,-0.05923694332445833,0.00129248073604437
29,2015-07-31,qValue,-0.05739087449876685,-0.06700194444417894,0.009611069945412089
30,2015-08-31,qGrowth,-0.03256866386722559,-0.06401892073062383,0.031450256863398245
31,2015-08-31,qLV,-0.0069237051116066125,-0.06320851684052174,0.05628481172891513
32,2015-08-31,qMO,0.0009105919626153065,-0.07758578886078747,0.07849638082340278
33,2015-08-31,qQuality,-0.017558708306537132,-0.037767766323785625,0.020209058017248493
34,2015-08-31,qSentiment,-0.04971074859885231,-0.04818749887525347,-0.001523249723598838
35,2015-08-31,qValue,-0.06453641487893497,-0.048126131087526634,-0.016410283791408332
36,2015-09-30,qGrowth,0.06585363593080003,0.09598275449298245,-0.030129118562182422
37,2015-09-30,qLV,0.050111047247214276,0.09535754617575802,-0.045246498928543745
38,2015-09-30,qMO,0.062122618832727725,0.09391332250234571,-0.03179070366961799
39,2015-09-30,qQuality,0.06588120800644115,0.05889648139241102,0.006984726614030129
40,2015-09-30,qSentiment,0.050751065333648655,0.05803645041526103,-0.007285385081612375
41,2015-09-30,qValue,0.08955489308958232,0.060988479365576546,0.028566413724005778
42,2015-10-31,qGrowth,0.002627203736869983,-0.022016266307446023,0.024643470044316006
43,2015-10-31,qLV,-0.003867742495688966,0.0025903295594286945,-0.006458072055117661
44,2015-10-31,qMO,0.005593431511675001,-0.019393515482202986,0.024986946993877986
45,2015-10-31,qQuality,-0.002035296499082256,-0.0038056078970654383,0.0017703113979831825
46,2015-10-31,qSentiment,-0.01500943187324773,0.0025017371886167775,-0.017511169061864507
47,2015-10-31,qValue,-0.0399984660542374,0.01793879841227038,-0.05793726446650778
48,2015-11-30,qGrowth,-0.017854647217558105,-0.06170903439223402,0.043854387174675914
49,2015-11-30,qLV,-0.01001639409671897,-0.05279865628096433,0.04278226218424536
50,2015-11-30,qMO,-0.019414284273210736,-0.04674985877931968,0.02733557450610894
51,2015-11-30,qQuality,-0.029662015409824504,-0.02608485460179355,-0.003577160808030954
