,date,discount,value_weight,close
0,2016-01-04,,,2012.66
1,2016-01-04,,,2012.66
2,2016-01-04,,,2012.66
3,2016-01-04,,,2012.66
4,2016-01-04,,,2012.66
5,2016-01-05,,,2016.71
6,2016-01-05,,,2016.71
7,2016-01-05,,,2016.71
8,2016-01-05,,,2016.71
9,2016-01-05,,,2016.71
10,2016-01-06,,,1990.26
11,2016-01-06,,,1990.26
12,2016-01-06,,,1990.26
13,2016-01-06,,,1990.26
14,2016-01-06,,,1990.26
15,2016-01-07,,,1943.09
16,2016-01-07,,,1943.09
17,2016-01-07,,,1943.09
18,2016-01-07,,,1943.09
19,2016-01-07,,,1943.09
20,2016-01-08,,,1922.03
21,2016-01-08,,,1922.03
22,2016-01-08,,,1922.03
23,2016-01-08,,,1922.03
24,2016-01-08,,,1922.03
25,2016-01-11,,,1923.67
26,2016-01-11,,,1923.67
27,2016-01-11,,,1923.67
28,2016-01-11,,,1923.67
29,2016-01-11,,,1923.67
30,2016-01-12,,,1938.68
31,2016-01-12,,,1938.68
32,2016-01-12,,,1938.68
33,2016-01-12,,,1938.68
34,2016-01-12,,,1938.68
35,2016-01-13,,,1890.28
36,2016-01-13,,,1890.28
37,2016-01-13,,,1890.28
38,2016-01-13,,,1890.28
39,2016-01-13,,,1890.28
40,2016-01-14,,,1921.84
41,2016-01-14,,,1921.84
42,2016-01-14,,,1921.84
43,2016-01-14,,,1921.84
44,2016-01-14,,,1921.84
45,2016-01-15,,,1880.33
46,2016-01-15,,,1880.33
47,2016-01-15,,,1880.33
48,2016-01-15,,,1880.33
49,2016-01-15,,,1880.33
50,2016-01-19,,,1881.33
51,2016-01-19,,,1881.33
52,2016-01-19,,,1881.33
53,2016-01-19,,,1881.33
54,2016-01-19,,,1881.33
55,2016-01-20,,,1859.33
56,2016-01-20,,,1859.33
57,2016-01-20,,,1859.33
58,2016-01-20,,,1859.33
59,2016-01-20,,,1859.33
60,2016-01-21,,,1868.99
61,2016-01-21,,,1868.99
62,2016-01-21,,,1868.99
63,2016-01-21,,,1868.99
64,2016-01-21,,,1868.99
65,2016-01-22,,,1906.9
66,2016-01-22,,,1906.9
67,2016-01-22,,,1906.9
68,2016-01-22,,,1906.9
69,2016-01-22,,,1906.9
70,2016-01-25,,,1877.08
71,2016-01-25,,,1877.08
72,2016-01-25,,,1877.08
73,2016-01-25,,,1877.08
74,2016-01-25,,,1877.08
75,2016-01-26,,,1903.63
76,2016-01-26,,,1903.63
77,2016-01-26,,,1903.63
78,2016-01-26,,,1903.63
79,2016-01-26,,,1903.63
80,2016-01-27,,,1882.95
81,2016-01-27,,,1882.95
82,2016-01-27,,,1882.95
83,2016-01-27,,,1882.95
84,2016-01-27,,,1882.95
85,2016-01-28,,,1893.36
86,2016-01-28,,,1893.36
87,2016-01-28,,,1893.36
88,2016-01-28,,,1893.36
89,2016-01-28,,,1893.36
90,2016-01-29,,,1940.24
91,2016-01-29,,,1940.24
92,2016-01-29,,,1940.24
93,2016-01-29,,,1940.24
94,2016-01-29,,,1940.24
95,2016-02-01,,,1939.38
96,2016-02-01,,,1939.38
97,2016-02-01,,,1939.38
98,2016-02-01,,,1939.38
99,2016-02-01,,,1939.38
100,2016-02-02,,,1903.03
101,2016-02-02,,,1903.03
102,2016-02-02,,,1903.03
103,2016-02-02,,,1903.03
104,2016-02-02,,,1903.03
105,2016-02-03,,,1912.53
106,2016-02-03,,,1912.53
107,2016-02-03,,,1912.53
108,2016-02-03,,,1912.53
109,2016-02-03,,,1912.53
110,2016-02-04,,,1915.45
111,2016-02-04,,,1915.45
112,2016-02-04,,,1915.45
113,2016-02-04,,,1915.45
114,2016-02-04,,,1915.45
115,2016-02-05,,,1880.05
116,2016-02-05,,,1880.05
117,2016-02-05,,,1880.05
118,2016-02-05,,,1880.05
119,2016-02-05,,,1880.05
