,date,NFCI,21dma,200dma,fc_signal
110,1995-06-09,-0.71059,-0.7149209523809524,,
111,1995-06-12,-0.71059,-0.7151100000000001,,
112,1995-06-13,-0.71059,-0.7152990476190476,,
113,1995-06-14,-0.71059,-0.7154880952380953,,
114,1995-06-15,-0.71059,-0.7156771428571429,,
115,1995-06-16,-0.6999,-0.7153571428571429,,
116,1995-06-19,-0.6999,-0.7145842857142858,,
117,1995-06-20,-0.6999,-0.7138114285714285,,
118,1995-06-21,-0.6999,-0.7130385714285714,,
119,1995-06-22,-0.6999,-0.7122657142857143,,
120,1995-06-23,-0.68951,-0.7109980952380953,,
121,1995-06-26,-0.68951,-0.7095352380952381,,
122,1995-06-27,-0.68951,-0.7080723809523809,,
123,1995-06-28,-0.68951,-0.7066095238095238,,
124,1995-06-29,-0.68951,-0.7051466666666667,,
125,1995-06-30,-0.681,-0.7032785714285714,,
126,1995-07-03,-0.681,-0.7015371428571429,,
127,1995-07-04,-0.681,-0.6997957142857143,,
128,1995-07-05,-0.681,-0.6980542857142857,,
129,1995-07-06,-0.681,-0.6963128571428572,,
130,1995-07-07,-0.67618,-0.6943419047619047,,
131,1995-07-10,-0.67618,-0.6927033333333332,,
132,1995-07-11,-0.67618,-0.6910647619047618,,
133,1995-07-12,-0.67618,-0.6894261904761905,,
134,1995-07-13,-0.67618,-0.6877876190476191,,
135,1995-07-14,-0.67702,-0.6861890476190476,,
136,1995-07-17,-0.67702,-0.6850995238095239,,
137,1995-07-18,-0.67702,-0.68401,,
138,1995-07-19,-0.67702,-0.6829204761904761,,
139,1995-07-20,-0.67702,-0.6818309523809524,,
140,1995-07-21,-0.68149,-0.6809542857142857,,
141,1995-07-24,-0.68149,-0.680572380952381,,
142,1995-07-25,-0.68149,-0.6801904761904762,,
143,1995-07-26,-0.68149,-0.6798085714285714,,
144,1995-07-27,-0.68149,-0.6794266666666667,,
145,1995-07-28,-0.68868,-0.6793871428571429,,
146,1995-07-31,-0.68868,-0.6797528571428572,,
147,1995-08-01,-0.68868,-0.6801185714285715,,
148,1995-08-02,-0.68868,-0.6804842857142857,,
149,1995-08-03,-0.68868,-0.68085,,
150,1995-08-04,-0.69823,-0.6816704761904762,,
151,1995-08-07,-0.69823,-0.6827204761904762,,
152,1995-08-08,-0.69823,-0.6837704761904762,,
153,1995-08-09,-0.69823,-0.6848204761904763,,
154,1995-08-10,-0.69823,-0.6858704761904763,,
155,1995-08-11,-0.70777,-0.6873747619047619,,
156,1995-08-14,-0.70777,-0.6888390476190477,,
157,1995-08-15,-0.70777,-0.6903033333333334,,
158,1995-08-16,-0.70777,-0.6917676190476191,,
159,1995-08-17,-0.70777,-0.6932319047619048,,
160,1995-08-18,-0.7154,-0.6950595238095237,,
161,1995-08-21,-0.7154,-0.6966742857142857,,
162,1995-08-22,-0.7154,-0.6982890476190475,,
163,1995-08-23,-0.7154,-0.6999038095238095,,
164,1995-08-24,-0.7154,-0.7015185714285714,,
